Winery,Wine name,Vintage,Region,Country,Regional wine style,Average rating,Scan date,Your rating,Your price,Your review,Personal note,Wine type,Drinking window,Food pairing,Link to wine,Label image
Giovannini,Giocondo Cabernet Sauvignon,,,,,3.7,2015-08-02 05:05,3.0,,Piacione. (il Gallo a Castel del Rio),,Red Wine, - ,"Beef, Lamb, Spicy food, Poultry",https://www.vivino.com/wines/1543228,https://images.vivino.com/labels/02jfq1yg2d7aj.jpg
Fondo Ca Vecia,Due Pievi Vino Bianco,2014,,,,3.8,2016-06-02 10:11,,,,,Red Wine, - ,"",https://www.vivino.com/wines/118023352,https://images.vivino.com/labels/cwgMOIi5SyWhH2tzJLP4pg.jpg
Loggia del Giullare,Toscano Rosso,2000,Toscana,Italy,Central Italy Red,2.8,2015-10-25 17:05,2.0,,Un po' troppo acido,,Red Wine, - ,"Beef, Pasta, Veal, Poultry",https://www.vivino.com/wines/13897481,https://images.vivino.com/labels/jLNqvtWtQjW4FCmx8UgiFQ.jpg
,Trebbiano Vigna Rio,2012,,,,3.5,2014-11-14 19:07,3.5,,Sa di trebbiano. Si sente un po' l'alcool alla fine.,,White Wine, - ,"",https://www.vivino.com/wines/11578707,https://images.vivino.com/labels/01g8fi14ffeiv.jpg
,Sansevé,2015,,,,3.0,2016-01-05 11:11,3.0,,Sa un po' di botte. Bevuto la sera del 4 gennaio 2016.,,Sparkling, - ,"Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",https://www.vivino.com/wines/88419633,https://images.vivino.com/labels/QjviWrr1TCqDJ2CaYL5szw.jpg
,Vino spumante Demi Sec,2014,,,,4.0,2014-12-20 21:09,4.0,,Uva matura appena colta.,,Dessert Wine, - ,Sweet desserts,https://www.vivino.com/wines/13180979,https://images.vivino.com/labels/01lrt26q3folq.jpg
Cà dei Frati,Tre Filer Stramature Dolce,2008,Lombardia,Italy,Northern Italy White,4.0,2015-05-23 20:08,3.0,,Sa di rucola!,,Dessert Wine, - ,"Pasta, Shellfish, Mature and hard cheese, Lean fish, Cured Meat",https://www.vivino.com/wines/1546638,https://images.vivino.com/labels/029r7eoha32ew.jpg
Fondo Ca Vecja,Pignoletto Vino Frizzante Bornici,2014,,,,4.0,2015-08-01 10:10,4.0,,Frigge il giusto! Estivo.,,Red Wine, - ,"",https://www.vivino.com/wines/29729242,https://images.vivino.com/labels/02j8rcciabu3w.jpg
,Oro et laboro,,,,,4.5,2015-03-21 20:08,4.5,,Dolce ma non eccessivamente simile all'uva passa,,Dessert Wine, - ,"",https://www.vivino.com/wines/19381924,https://images.vivino.com/labels/020rgk82gaya8.jpg
,Tumbaza Trebbiano Rubicone Frizzante,,,,,3.0,2016-03-05 11:11,3.0,,Ha una bella granellina!,,White Wine, - ,"",https://www.vivino.com/wines/127360557,https://images.vivino.com/labels/cjkl3v1OSgqZ0Tq4hsz7pw.jpg
Duca,Odoardo Grechetto Colli Martani,2013,Emilia-Romagna,Italy,Central Italy White,3.2,2014-11-29 12:12,3.0,,Normale. Bravi perché indicano in etichetta la provincia e non solo il paese!,,White Wine, - ,"Pasta, Vegetarian, Apertizers and snacks, Lean fish, Cured Meat",https://www.vivino.com/wines/7595850,https://images.vivino.com/labels/01idif08x8il6.jpg
,Rasice Montepulciano d'Abruzzo,2011,Abruzzo,Italy,Italian Montepulciano d'Abruzzo,4.2,2014-12-06 19:07,4.0,,Ciliegia buona,,Unknown, - ,"Beef, Pasta, Veal, Pork",https://www.vivino.com/wines/12535675,https://images.vivino.com/labels/01jet8h9l2y8l.jpg
Michele Chiarlo,Barolo Tortoniano,2009,Barolo,Italy,Italian Barolo,3.9,2015-05-23 20:08,4.5,,Liscio e rotondo.,,Red Wine, - ,"Beef, Pasta, Lamb, Game (deer, venison)",https://www.vivino.com/wines/2216576,https://images.vivino.com/labels/029r6t7wre3zw.jpg
Valvitis,Friuli Grave Sauvignon,2014,Friuli-Venezia Giulia,Italy,Northern Italy White,3.1,2015-12-12 11:11,3.0,,Buono anche se un po' acido.,,White Wine, - ,"Pasta, Shellfish, Mature and hard cheese, Lean fish, Cured Meat",https://www.vivino.com/wines/24079838,https://images.vivino.com/labels/KJLm70G7RXOJY0jrQXS1TQ.jpg
Castelluccio,Massicone,2008,Emilia-Romagna,Italy,Central Italy Red,3.4,2015-08-02 05:05,3.0,,Piacione. (il Gallo a Castel del Rio),,Red Wine, - ,"Beef, Pasta, Veal, Poultry",https://www.vivino.com/wines/2360280,https://images.vivino.com/labels/02jfpww3dmh76.jpg
Val d'Oca,Prosecco Valdobbiadene Superiore Millesimato,2013,Prosecco di Conegliano-Valdobbiadene,Italy,Italian Prosecco,3.8,2014-12-26 12:12,4.0,,Una sicurezza.,,Sparkling, - ,"Shellfish, Vegetarian, Apertizers and snacks, Aperitif, Cured Meat",https://www.vivino.com/wines/3893064,https://images.vivino.com/labels/01nolhjadddby.jpg
Kellerei Meran Burggrafler,Südtirol Alto Adige Muller Thurgau,,Alto Adige,Italy,Northern Italy Müller Thurgau,3.0,2015-11-28 18:06,,,,,White Wine, - ,"Shellfish, Spicy food, Vegetarian, Apertizers and snacks, Lean fish",https://www.vivino.com/wines/3096643,https://images.vivino.com/labels/3PrGk6r2TGuXTxOX_NhrZA.jpg
,Borghesano Pignoletto frizzante,,,,,3.0,2015-12-19 19:07,3.0,,Non male.,,White Wine, - ,"",https://www.vivino.com/wines/84297550,https://images.vivino.com/labels/23MEnTQBTimwuoTqjVw_4Q.jpg
Livio Felluga,Vertigo,2012,delle Venezie,Italy,Northern Italy Red,3.7,2014-10-25 19:07,4.0,,Buono.,,Red Wine, - ,"Beef, Pasta, Lamb, Game (deer, venison)",https://www.vivino.com/wines/4432042,https://images.vivino.com/labels/01dsipo6trtjf.jpg
Hermon,Mount Hermon White,2014,Galil,Israel,,3.8,2016-04-24 19:07,3.0,,Bello secco,,White Wine, - ,"Pork, Game (deer, venison), Rich fish (salmon, tuna etc), Shellfish, Spicy food, Sweet desserts, Vegetarian, Poultry, Mild and soft cheese",https://www.vivino.com/wines/7209868,https://images.vivino.com/labels/xJPiMHMVRfC2HSbhAQCxIw.jpg
,Cuvée Imperiale Franciacorta D.O.C.G. Brut,2013,,,,4.0,2015-03-21 20:08,4.0,,Ottimo,,Sparkling, - ,"Beef, Lamb, Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",https://www.vivino.com/wines/19379088,https://images.vivino.com/labels/020r61hl7y6q3.jpg
Baron di Pauli,Exilissi Sell,2007,Alto Adige,Italy,Northern Italy White,4.4,2016-02-20 21:09,4.0,,Albicocca.,,White Wine, - ,"Pasta, Shellfish, Mature and hard cheese, Lean fish, Cured Meat",https://www.vivino.com/wines/112303,https://images.vivino.com/labels/tiOzu11MQpyIwfNX0HEyZQ.jpg
Perrot Batteux,Champagne Helixe Nature Brut Natrue,,Champagne,France,French Champagne,4.2,2015-12-30 13:01,4.0,,A me che non piace lo champagne...,,Sparkling, - ,"Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese",https://www.vivino.com/wines/4694050,https://images.vivino.com/labels/2StQyegwS3S9HZuXA4ASHw.jpg
Colterenzio,St. Daniel Pinot Nero (Blauburgunder) Riserva Südtirol Alto Adige,2011,Trentino-Alto Adige,Italy,Northern Italy Pinot Noir,3.7,2016-01-05 11:11,,,,,Red Wine, - ,"Beef, Veal, Game (deer, venison), Poultry",https://www.vivino.com/wines/2398100,https://images.vivino.com/labels/o94Y4fRFSbKFyMVgyvql2w.jpg
,Colli d'Imola Sangiovese Riserva Vigna delle Poiane,2010,,,,4.5,2016-02-07 11:11,4.5,,Eccellente,,Red Wine, - ,"Beef, Veal, Pork, Game (deer, venison), Mature and hard cheese, Poultry",https://www.vivino.com/wines/107989071,https://images.vivino.com/labels/IJQbzZKpSemaH5jH7l9wGA.jpg
Fondo Ca Vecja,Colvento Colli D'Imola Bianco Superiore,2010,Emilia-Romagna,Italy,Central Italy White,3.5,2014-12-20 19:07,,,,,White Wine, - ,"Pasta, Vegetarian, Apertizers and snacks, Lean fish, Cured Meat",https://www.vivino.com/wines/10839875,https://images.vivino.com/labels/01lqf3sl00ehh.jpg
